"","country_name","total"
"1","Angola",699961
"2","Anguilla",28915
"3","Antigua And Barbuda",214778
"4","Armenia",565
"5","Aruba",27511
"6","Azerbaijan",18946288
"7","Bahamas",32110
"8","Bahrain",33171103
"9","Belarus",174406
"10","Belize",350915
"11","Bhutan",10218755
"12","Botswana",44573
"13","Brunei",2663
"14","Bulgaria",48000015
"15","Cambodia",26954078
"16","Cameroon",400
"17","Cape Verde",2184
"18","Curaã§Ao",530958
"19","Cyprus",922061
"20","Denmark",47653494
"21","Dominica",177758
"22","East Timor",2629
"23","Equatorial Guinea",92206
"24","Falkland Islands",10671
"25","Faroe Islands",146886
"26","Fiji",83705
"27","Gabon",12021
"28","Gambia",34754
"29","Georgia",282021
"30","Ghana",6338938
"31","Gibraltar",1814770
"32","Greece",60999309
"33","Greenland",54975
"34","Grenada",21573
"35","Guinea",1110215
"36","Guyana",224398
"37","Hong Kong",19439916
"38","Iceland",1286549
"39","Ivory Coast",1397194
"40","Jamaica",330241
"41","Jersey",631677
"42","Kazakhstan",1548934
"43","Kyrgyzstan",2949
"44","Laos",252405
"45","Lesotho",16000
"46","Liechtenstein",215935
"47","Lithuania",21780070
"48","Luxembourg",2675147
"49","Macedonia",327276
"50","Malawi",3583603
"51","Maldives",11816599
"52","Mali",26869
"53","Malta",7411090
"54","Marshall Islands",808403
"55","Mauritania",4296
"56","Mauritius",121373
"57","Montenegro",833795
"58","Montserrat",5206
"59","Myanmar",1383800
"60","Nauru",168
"61","New Zealand",2834228
"62","Niger",1366
"63","Nigeria",8675683
"64","Oman",2563836
"65","Palau",523108
"66","Palestine",2556750
"67","Papua New Guinea",1331
"68","Republic Of The Congo",14297
"69","Rwanda",6442508
"70","Sã£O Tomã© And Prã­ncipe",13689
"71","Saint Helena",10060
"72","Saint Kitts And Nevis",56115
"73","San Marino",245559
"74","Senegal",9279663
"75","Serbia",68021812
"76","Seychelles",1939251
"77","Singapore",9060575
"78","Slovakia",77968224
"79","Slovenia",16275308
"80","Solomon Islands",2000
"81","South Sudan",947
"82","Sri Lanka",33747487
"83","Suriname",373506
"84","Swaziland",79709
"85","Sweden",24563511
"86","Syria",2500
"87","Togo",384845
"88","Tonga",500
"89","Trinidad And Tobago",34356
"90","Tunisia",2491169
"91","Turks And Caicos Islands",58792
"92","Uganda",3037808
"93","Uzbekistan",776210
"94","Vietnam",1896970
"95","Zambia",4813
"96","Zimbabwe",4997190
